No;Abstract;
84;Sistem pemrosesan dan distribusi informasi di asrama youngsan masih menggunakan metode lama dengan menyimpan data dalam sebuah buku. Ini merancang dan membuat sistem informasi memiliki tujuan untuk merancang sistem informasi untuk dukungan layanan informasi di asrama universitas youngsan terutama dalam manajemen dan memberikan informasi. Metode metode pendekatan yang digunakan dalam penelitian ini adalah pendekatan terstruktur dan mengembangkan metode sistem menggunakan metode prototyping, dengan mengembangkan alat bantu sistem yang membentuk flow map, diagram konteks, DFD, dan alat desain basis data itu menggunakan formulir ERD. Dengan sistem informasi ini diharapkan dapat mengelola data asrama penghuni yang berintegrasi dengan basis data.;
85;Perkembangan teknologi informasi yang semakin pesat, dapat memenuhi kebutuhan perusahaan, instansi atau lembaga ? lembaga. Teknologi informasi dapat dimanfaatkan untuk aktifitas pengelolaan infaq. Dalam penelitian ini akan membahas mengenai sistem pengelolaan infaq di Masjid Al Fatah Busan Korea Selatan.Masjid Al Fatah Busan merupakan masjid terbesar yang ada di Kota Busan yang memiliki banyak jamaah dari berbagai negara muslim. Sistem yang berjalan saat ini terdapat beberapa kesulitan yang dialami para jamaah, salah satunya yaitu jauhnya lokasi Masjid Al Fatah Busan. Tujuan dilakukannya penelitian ini adalah untuk merancang Sistem Informasi Infaq Online Berbasis Website Di Masjid Al Fatah Busan untuk memudahkan jamaah masjid dalam melakukan infaq secara online dan mendapatkan informasi detail infaq melalui halaman web dengan mudah.Dalam penelitian ini metode pendekatan sistem yang digunakan ialah metode pendekatan beorientasi objek UML dan untuk mengembangkan sistem informasinya menggunakan metode pengembangan yaitu metode Prototype.;
86;Minimnya pengiriman materi di SDN Mandiri 1, menyebabkan anak-anak kekurangan pengetahuan tentang materi pramuka yang disediakan oleh pelatih. Dalam proses pengiriman bahan pramuka ini, media pembelajaran yang efektif diperlukan sebagai proses penyampaian bahan. Oleh karena itu, dibutuhkan media sebagai media pembelajaran alternatif. Media pembelajaran dimaksudkan untuk membantu proses penyampaian materi pramuka agar tidak terjadi membosankan, sehingga pengiriman materi menjadi lebih menarik. Metode penelitian ini menggunakan metode observasi dan metode wawancara. Metode observasi dilakukan dengan melakukan observasi langsung di lapangan, sedangkan untuk metode wawancara adalah bertanya langsung ke pemimpin pramuka yang ada di SDN Cimahi Mandiri 1. Pembuatan aplikasi ini dibuat menggunakan Adobe Flash CS6. Dengan penciptaan ini Aplikasi ini diharapkan dapat membantu proses pengiriman bahan pramuka secara efektif. Itu juga Diharapkan dengan aplikasi ini dapat menumbuhkan minat belajar materi pramuka.;
87;Bangunan adalah aset penting bagi bisnis apa pun. Bangunan yang bagus bisa melindunginya penyewa dan juga memompa produktivitas mereka. Pada akhirnya, sebuah bangunan perlu dipelihara, tetapi mengelola proses pemeliharaan ini mungkin sulit karena sebuah bangunan dapat memiliki satu ton item pemeliharaan. Teknologi Informasi dapat memberikan solusi untuk mempermudah proses manajemen pemeliharaan. Teknologi Informasi yang digunakan sebagai informasi alat penyimpanan dan alat penjadwal perawatan dapat membuat pekerjaan pekerja lebih mudah.Hotel Aston at Kuningan Suites adalah salah satu hotel top di Jakarta. Mereka saat ini aktivitas manajemen pemeliharaan gedung tidak melibatkan solusi digital. Pelajaran ini bertujuan untuk membangun Sistem Manajemen Pemeliharaan untuk Hotel guna memudahkan para pekerja kegiatan. Sistem ini dirancang menggunakan pendekatan OOP dengan bantuan dari UML. Ini Penelitian juga menggunakan Extreme Programming sebagai metode pengembangan sistemnya.Sistem Manajemen Pemeliharaan yang Terkomputerisasi dikembangkan untuk Hotel menghasilkan proses pengelolaan perawatan yang lebih mudah, perintah kerja dan check-in. Sistem ini adalah sistem multi platform. Meskipun menghasilkan proses yang lebih mudah untuk mengelola masalah-masalah itu, sistem ini masih dapat dikembangkan lebih lanjut dengan penerapan berbagai teknologi dan fitur-fitur seperti IoT dan fitur offline.;
88;PT. Mutiara Jasa Bahari adalah perusahaan terbatas yang bergerak di bidang Perikanan Layanan Penempatan Berlayar. Untuk membantu mengurangi kemiskinan bersama untuk membangun Indonesia dari Indonesia sektor lokal. Di PT. Mutiara Jasa Bahari masih menggunakan sistem yang belum terkomputerisasi dan dilakukan secara manual, dengan merekam data dalam arsip dan file excel. Dengan sistem saat ini menghambat terhadap kebutuhan data yang harus tersedia dengan cepat, tepat, dan akurat.Untuk mencapai metode penelitian objektif yang digunakan meliputi desain penelitian menggunakan metode deskriptif, metode pengumpulan data menggunakan wawancara dan observasi, sistem. Metode pendekatan yang digunakan adalah metode pendekatan berorientasi objek, metode pengembangan sistem yang digunakan adalah metode prototipe. Alat analisis dan desain adalah flow map, diagram konteks, data diagram alir, kamus data, dan desain basis data (normalisasi dan tabel hubungan).Dengan Implementasi Sistem Informasi, Manajemen Data Anak - anak Indonesia Buah Kapal diharapkan dapat memfasilitasi karyawan dan petugas di bagian dalam implementasi sistem kepegawaian, sehingga diharapkan dapat membatu kinerja para karyawan.;
89;Pesatnya perkembangan Teknologi sangat mempengaruhi kehidupan masyarakat, terutama untuk kemajuan suatu perusahaan. Informasi teknologi khususnya di komputer teknologi dan internet sangat diperlukan untuk perusahaan terutama untuk menyampaikan informasi dan membantu dalam data pengelolaan. Di dunia bisnis keberadaan suatu informasi teknologi sangat berguna untuk perusahaan untuk memfasilitasi dan membantu kinerja suatu perusahaan di Indonesia menjalankan aktivitas kerja perusahaan. Dimana Perusahaan harus memanfaatkan pengembangan informasi teknologi untuk kemajuan perusahaan itu sendiri, oleh karena itu perlu teknologi informasi di Internet perusahaan untuk membuat nilai tambah dalam bisnis, persaingan ekonomi dan mempertahankan keberadaan perusahaan. Dengan informasi seperti itu teknologi yang baik atau layanan dapat lebih dikenal luas.Pengembangan dari teknologi dan informasi dimana pengembangannya dimanfaatkan oleh setiap perusahaan, bisnis dan lainnya Institusi. Wisma Dago 22 Bandung salah satunya di mana setiap pesanan masih dilakukan secara manual, dimana setiap reservasi harus datang langsung ke tempat atau panggilan melalui telepon. Oleh karena itu penulis mengajukan judul reservasi hotel bebrbasis web di rumah dago 22 bandung. Sehingga Keberadaan sistem ini dapat membantu rumah dan konsumen menjadi lebih baik dari sebelumnya. Merancang sistem ini menggunakan PHP dan juga MySQL database, pendekatan terstruktur metode, pengembangan prototipe metode. berdasarkan hal di atas penjelasan, diharapkan bahwa hasil penelitian yang diusulkan dapat digunakan untuk membantu meminimalkan kesalahan yang mungkin terjadi terjadi. Dan memudahkan dalam pemrosesan dalam manajemen data.;
90;"Untuk memudahkan pemrosesan transaksi pembayaran di setiap sendi transaksi dengan perusahaan pihak ketiga, data akuntansi aset reguler pengumpulan serta memberikan informasi yang akurat dan terkini tentang pengelolaan aset tetap dan manajemen keuangan mensyaratkan suatu program situs web berbasis intranet untuk memfasilitasi proses data manajemen, laporan dan manajemen Keuangan. Berdasarkan masalah-masalah ini, perlu untuk mengamati dan mewawancarai, dan analisis sehingga hasilnya dapat dibangun. Dengan maksud penulis menyusun skripsi dengan judul ""Sistem Informasi Keuangan dan Tetap Manajemen Aset di PT.Bank Rakyat Indonesia Intranet Berbasis Web "". Pengembangan sistem fase menggunakan prototipe. Dengan ini dapat disimpulkan bahwa keuangan intranet berbasis situs web dan manajemen aset masih dapat memfosil dalam sistem informasi dan pemrosesan laporan manajemen di sekitar PT. Bank Rakyat Indonesia (Persero), Tbk.";
91;"PDAM Tirta Raharja sebagai perusahaan penyedia layanan air wajib menyediakan layanan optimal kepada pelanggannya, salah satunya seperti menerima laporan keluhan pelanggan. Laporan keluhan pelanggan yang terjadi saat ini tidak ditangani secara optimal proses pemeriksaan tidak disertai dengan dokumentasi. Dari masalah ini diperlukan tahap verifikasi atau survei untuk memastikan jenis masalah dan siapa yang benar untuk menyelesaikan masalah, dapat dibangun ""Survei Survei Pelanggan Sistem Pada PDAM Tirta Raharja Kabupaten Bandung .. Metode yang digunakan dalam penelitian yaitu metode pemodelan dengan berorientasi objek dan Alat yang digunakan adalah UML (Unified Modeling Bahasa). Dengan dibangunnya sistem ini diharapkan proses pengelolaan data keluhan dan data inspeksi menjadi lebih mudah dan bukan proses pengaduan yang tertunda memeriksa data karena data inspeksi dikirim dalam waktu nyata sehingga mempercepat proses pengelolaan data menjadi lebih mudah.";
92;Perkembangan di bidang teknologi informasi telah membuat banyak perusahaan di bidang perhotelan mulai mengembangkan sistem reservasi dengan menggunakan teknologi Informasi. Salah satu caranya adalah dengan menggunakan aplikasi berbasis web. Sistem informasi reservasi berbasis web dikembangkan di Seaview Cottage Cirebon Waterland, sistem ini memproses pemesanan kamar data baik proses check-in dan check-out dan pendapatan sewa kamar di setiap bulan dan layanan binatu. Dalam perancangan metode penelitian ini yang digunakan adalah pendekatan Object, pengembangan metode menggunakan model protoype, alat yang digunakan untuk merancang sistem yang UML. sementara untuk merancang dan mengimplementasikan sistem informasi reservasi ini menggunakan bahasa pemrograman web PHP, database MySQL dan editor teks menggunakan Adobe Dreamweaver Aplikasi CS6. Sistem informasi reservasi dapat memberikan kemudahan bagi Front Office pelanggan dan cottage dalam melakukan reservasi. Sistem informasi pemesanan dapat memudahkan pengunjung front office dan cottage untuk melakukan prosedur pemesanan. Selain itu, pengunjung juga bisa mendapatkan informasi tentang fasilitas yang ada di Seaview Cottage Cirebon Waterland. Agar media pembaruan dapat mengatasi semua masalah yang ada di atas dan pengembangan menjadi sistem terintegrasi ke komputer berbasis online sehingga kemudahan dalam menjangkau informasi pondok dapat dirasakan lebih memadai karena sifatnya yang online alam dapat diakses di mana saja dan kapan saja tanpa jangkauan ruang dan waktu.;
93;Penulis melakukan penelitian pada perusahaan kabir bandy konvensional yang bergerak di bidang pembuatan pakaian dalam mencatat transaksi dan layanan jasa konveksi, konveksi kabir masih menggunakan metode manual seperti menulis semua transaksi di buku atau arsip untuk membuat proses pengolahan data membutuhkan waktu yang lama dan lebih banyak data arsip Juga masih banyak dalam data sehingga memiliki banyak data resko loss. Dalam pembuatan sistem informasi pemesanan dan produksi pada konveksi kabir menggunakan metode penelitian deskriptif dan menggunakan metode pendekatan terstruktur dan juga menggunakan metode pengembangan air terjun, sedangkan untuk alat analisis menggunakan Flowmap, Data Flow Diagram, Kamus Data, dan pada tahap akhir Yaitu Pengujian menggunakan metode blackbox untuk program kesalahan bisa lebih awal. Dengan sistem pemesanan informasi dan produksi berbasis web secara konveksi kabir diharapkan dapat mengatasi masalah yang muncul di perusahaan untuk perusahaan yang membayar lebih memperhatikan perkembangan teknologi untuk mendukung proses bisnis yang ada seperti di pencatatan pemesanan barang, pencatatan produksi barang, pembayaran dan pengembalian barang barang dilakukan secara komputerisasi.;
94;Ammara Sahya Clinic adalah klinik yang mengkhususkan diri dalam perawatan dan penyakit kulit terletak di pacuan kuda no 46, sukamiskin bandung. Ada beberapa masalah di dalamnya, proses reservasi atau janji dengan dokter masih dicatat secara manual dalam buku berjanji untuk menyebabkan bentrokan sering bertemu dengan pasien lain ini karena jumlah pasien yang mencari pengobatan di sana. Desain penelitian yang penulis gunakan adalah deskriptif penelitian. Serta teknik pengumpulan data yang digunakan meliputi sumber data primer. Dengan metode pendekatan terstruktur dan metode pengembangan prototipe yang membuat bentuk awal dari sistem yang akan dibuat dan terus diuji dan dikembangkan hingga selesai sistem disebut proses iteratif (proses iteratif) dari pengembangan sistem. Karena itu membuat reservasi sistem informasi dokter di klinik ammara sahya mengatasi hal di atas masalah. Langkah terakhir adalah menguji aplikasi menggunakan metode blackbox. Hasil dari penelitian ini, diharapkan menjadi sistem informasi yang dapat digunakan oleh Ammara Sahya untuk membantu proses yang berjalan di sana, dan bisa menjadi solusi dari semua masalah yang ada.;
95;Sub Unit Pengembangan Industri Kecil dan Menengah Cibaduyut terletak di Jl Unit Pelaksana Teknis Pengembangan Industri Pusat yang merupakan unit bisnis bergerak di bidang alas kaki, sepatu dan industri lainnya. Dalam melakukan proses pengumpulan data IKM serta, penjualan dan kegiatan pengumpulan data lainnya masih menggunakan metode pencatatan manual. Begitu penulis tertarik untuk membangun aplikasi sistem E-IKM di pusat sepatu di Indonesia Situs web berbasis Cibaduyut. Desain penelitian yang digunakan adalah deskriptif. Metode yang digunakan adalah sistem berorientasi objek pendekatan dengan alat UML. Metode pengembangan sistem yang digunakan adalah metode prototipe dengan menggunakan bahasa pemrograman web sedangkan perangkat lunak yang digunakan adalah XAMPP dan MYSQL sebagai basis data. Sementara menguji perangkat lunak menggunakan metode pengujian kotak hitam. Hasil dari penelitian ini adalah sistem E-IKM berbasis situs web yang dapat digunakan oleh UPT dalam pengolahan data IKM, produk yang dihasilkan IKM, penjualan produk IKM, kegiatan IKM, Konsultasi IKM dan berbagai laporan.;
96;PT.Rafa Lintas Cakrawala tour & travel adalah salah satu agen perjalanan yang telah didirikan untuk lebih dari 10 tahun yang menyediakan layanan wisata dengan paket wisata dan memiliki layanan mengambil grup dari tempat mereka atau pelanggan yang datang langsung ke PT.Rafa ke transfer ke bandara soekarno-hatta. Namun sistem layanan tur di PT.Rafa dalam implementasinya masih dilakukan secara manual yaitu layanan reservasi yang mengharuskan pelanggan datang ke memesan langsung atau memesan telepon, sama seperti perjalanan layanan antar jemput dari bandara ke tempat pelanggan, masih membutuhkan pesanan pelanggan langsung ke PT.Rafa atau memesan melalui telepon yang membuatnya sulit bagi staf dan pelanggan. Berdasarkan permasalahan di atas penulis ingin merancang suatu aplikasi informasi sistem reservasi tour & travel, Metode pengumpulan data menggunakan teknik data pengumpulan melalui wawancara dan observasi. Metode pendekatan sistem yang digunakan dalam hal ini Penelitian berorientasi objek sedangkan metode pengembangan sistem dengan menggunakan prototipe metode. Sistem informasi pemesanan tur & perjalanan diharapkan dapat membuat para staf dan pelanggan lebih mudah dalam reservasi tur dan perjalanan, juga untuk membantu staf melakukan pekerjaan layanan mereka dengan lancar.;
97;Perkembangan teknologi informasi sangat pesat memudahkan kita dalam pengolahan data. Kita bisa mendapatkan berita dengan cepat pendaftaran tidak mengharuskan kita untuk langsung pergi ke tempat kami dapat mengisi data melalui situs web yang telah disediakan oleh intansi atau oleh perusahaan. Oleh karena itu, ini merupakan potensi yang tepat jika teknologi informasi diterapkan sebuah agen pemerintah salah satunya ada di Kantor Desa Langonsari ini adalah kesempatan untuk memfasilitasi pengumpulan data yang dilakukan di Kantor Desa Langonsari salah satu pendataan rumah yang tidak layak huni atau sekarang sering disebut sehat rumah. Di sini peneliti menggunakan metode pendekatan Pengembangan Berorientasi Objek. Metode pengembangan peneliti menggunakan Prototipe. Apa yang peneliti harapkan setelah ini penelitian adalah untuk meningkatkan layanan di masyarakat di desa langonsari, dan memperkuat rasa gotong royong dengan masyarakat.;
98;KaliSquare adalah salah satu bisnis yang bergerak di bidang kuliner seperti Pujasera yang dimiliki 5 makanan Tenant / Stant dan 1 Tenant / Stant Drink, yang tentu saja memiliki menu berbeda berbeda setiap penyewa. Di KaliSquare ada juga livemusic yang disajikan untuk diundang tamu / konsumen untuk mengunjungi KaliSquare. Dalam proses bisnis KaliSquare sudah menggunakan teknologi sistem informasi pemesanan, Tetapi masih ada pengiriman data pesanan dari Pelayan ke Penyewa (bag.dapur) dilakukan secara konvensional, Proses pemesanan menggunakan Kartu Tidak, yang mana No nantinya adalah No Order dari masing-masing Konsumen. Dalam hal ini alahkah lebih baik jika Seluruh proses dalam hal pemesanan makanan dan minuman menggunakan komputerisasi dari masalah yang ada di KaliSquare, maka perlu ditambahkan sistem pengirim data dari Waiters to Tenant (bag.dapur) terkomputerisasi, untuk mempercepat proses Pemesanan makanan dan memfasilitasi pekerjaan Pelayan dalam menulis pesanan data dari konsumen. Itu bisa membantu KaliSquare.;
99;Pengembangan dari teknologi informasi demikian cepat telah menembus berbagai sektor. Kebutuhan untuk informasi yang cepat dan akurat Sangat penting untuk membantu berbagai aktivitas orang. Dalam pemanfaatan informasi teknologi itu sendiri dibutuhkan perangkat kaleng multifungsi digunakan dalam proses implementasi, yaitu komputer. Menggunakan komputer ini kita dapat mengakses dan memanipulasi data secara cepat dan akurat. Misalnya dalam pt. Implementasi sripamakelan teknologi informasi adalah untuk membuatnya lebih mudah bagi pengguna untuk mengakses dan memanipulasi data dan informasi yang diperlukan. Di untuk mencapai tujuan perusahaan-perusahaan ini perlu sistem informasi yang berisi mobil pengolah data sewa, pembayaran sewa mobil dan pengembalian uang mobil sewaan. Metode penelitian yang digunakan dalam penelitian ini adalah penelitian metode dan metode pengembangan objektif dari prototipe. Untuk mendesain sendiri menggunakan penelitian deskriptif. Sebagai untuk pengumpulan data yang digunakan dalam penelitian ini melalui wawancara, observasi dan dokumentasi. Alat yang digunakan dalam merancang sistem ini, antara lain, use case skenario, gunakan diagram kasus, diagram aktivitas, urutan diagram, diagram kelas, diagram objek, komponen diagram dan penyebaran diagram. berdasarkan hal di atas data dalam hasil yang diharapkan dari penelitian dalam mengusulkan ini bisa memudahkan dalam bertransaksi pemrosesan, pemrosesan data dan pemberian informasi tentang PT Sripamakelan. Kata kunci: Informasi Sistem, PT. Sripamakelan Sewa Mobil.;
100;Mempekerjakan pengadilan Futsal sekarang memiliki banyak penggemar, ada banyak tempat yang banyak disewa Bahkan futsal difasilitasi untuk memberikan kenyamanan bagi para pengunjung. Tapi itu bukan hanya tempat kenyamanan, kemudahan pemesanan apa pun adalah hal yang tidak boleh dilupakan, karena Kemudahan ini membuat para pelanggannya lebih tertarik untuk terus melakukan reservasi futsal. Begitu agar pengunjung dapat dengan mudah melakukan pemesanan, jika tidak datang ke tempat futsal, dan pembukuan mengenai laporan reservasi lapangan, penjualan dan inventaris masih belum diatur dengan rapi dan akurat, sehingga General Manager masih kesulitan dalam membuat penghormatan bulanan pada pendapatan bidang pemesanan. Metode penelitian yang digunakan adalah metode prototipe yang sekaligus menjadi sistem Metode devlopment, jika pada tahap kemajuan ini ada kekurangan pada sistem, bisa jadi melakukan penambahan atau perbaikan secara langsung tanpa harus menyelesaikan tahap akhir terlebih dahulu. Alat yang digunakan untuk menggambarkan model sistem adalah Use Case, Sequence Diagram, Activity Diagram, Diagram Komponen dan Diagram Penyebaran serta dalam desain database menggunakan Object Diagram dan Class Diagram. Informasi Manajemen ini Desain sistem menggunakan bahasa PHP dan MySQL sebagai databasenya. Hasil penelitian yang dicapai oleh peneliti adalah membuat sistem informasi yang dapat memfasilitasi pelanggan dalam melakukan pemesanan lapangan, pemasaran tempat futsal melalui situs web dan mengelola data keuangan dari pemesanan bidang hasil dan juga data keuangan penjualan dan menyimpan semua data yang masih dalam dokumen menjadi database.;
101;Penggunaan komputer dalam berbagai aspek kehidupan semakin meningkat, bahkan dalam aspek perusahaan sekalipun. Penggajian karyawan di suatu perusahaan sangat penting, karena dengan gaji yang sesuai dan sesuai itu secara tidak langsung akan memotivasi karyawan untuk bekerja lebih keras. Sistem penggajian di Studio 21 Ketapang masih belum efektif, butuh waktu, tenaga, dan tinggi akurasi dalam menghitung gaji karyawan. Ini memungkinkan untuk ketidakakuratan dalam perhitungan, panjang dari proses perhitungan, dan pelaporan. Untuk itu diperlukan suatu sistem informasi itu termasuk penjadwalan, presense, dan penggajian untuk mengatasinya.Metode penelitian yang digunakan dalam penelitian ini adalah metode pendekatan berorientasi objek dan pengembangan sistem dengan model prototipe. Desain penelitian menggunakan metode deskriptif. Metode pengumpulan data menggunakan teknik wawancara, observasi, dan dokumentasi. Alat desain sistem yang digunakan untuk menggambarkan model sistem termasuk diagram use case, use case skenario, diagram aktivitas, diagram urutan, diagram kelas, diagram objek, diagram komponen, dan diagram penempatan. Bahasa pemrograman yang digunakan untuk membuat Sistem Informasi Penggajian ini adalah bahasa pemrograman Java dan perangkat lunak yang digunakan adalah Netbeans dengan MySQL sebagai basis datanya. Diharapkan bahwa hasil penelitian dari sistem yang diusulkan ini dapat digunakan untuk membantu meminimalkan kesalahan, penyajian informasi dapat dilakukan dengan cepat, tepat, dan akurat.;
102;Kebutuhan transportasi masyarakat khususnya di Bandung yang digunakan untuk liburan, belajar atau bekerja kegiatan yang dilakukan di luar kawasan merupakan peluang untuk perusahaan Trans DMH yang bergerak dalam jasa penyewaan bus wisata. Dalam kesempatan ini pihak perusahaan harus meningkatkan kinerja layanan tertentu kepada orang-orang yang akan menyewa sebuah bus. Adapaun merekam para penyewa yang masih tercatat di papan tulis dan transaksi yang dilakukan secara manual serta pembuatan laporan dibuat memakan waktu yang sangat lama karena kebutuhan untuk mengumpulkan data yang dibuat untuk laporan serta keberadaan pengecekan beberapa kali. Penggunaan metode penelitian adalah metode deskriptif untuk melakukan pengumpulan data, pengembangan sistem metode menggunakan prototipe, dalam membuat situs web menggunakan bahasa pemrograman php. Tahap akhir dari penelitian adalah pengujian terhadap aplikasi berbasis web yang telah dibuat dengan metode pengujian Blackbox. Adanya kekurangan ini, sehingga terbangun oleh sistem yang masih mengacu pada prosedur yang sudah ada di perusahaan, di mana sistem berjalan secara otomatis, dengan membangun informasi sistem sewa bus berbasis web, akan memudahkan orang yang menyewa bus online dengan mengakses berbasis web aplikasi.;
103;Fourlight fotografi adalah perusahaan yang melakukan beberapa layanan fotografi seperti layanan terkait foto karya dan fotografi komersial, sistem pemesanan menggunakan platform teknologi informasi seperti e-mail dan sosial messenger. Jenis sistem pemesanan sering menimbulkan masalah seperti keterbatasan antara proyek manajer dan fotografer Fourlight, masalah ini terjadi karena tidak ada sistem informasi terintegrasi yang mengatur jadwal sesi fotografi itu berasal dari konsumen. Masalah ini menghabiskan waktu dan sumber daya berharga lainnya, terbuang hanya untuk koordinasi proyek dan juga menyebabkan ketidaknyamanan bagi konsumen, manajer proyek, dan fotografer. Metodologi penelitian yang digunakan dalam penelitian ini adalah metode berorientasi objek. Itu Metode pengembangan sistem yang digunakan adalah model prototipe. Alat analisis dan perencanaan yang digunakan untuk membantu merancang sistem informasi adalah Unified Modeling Language (UML). Sistem ini dibuat sebagai aplikasi berbasis web, dimungkinkan melalui pengembangan menggunakan bahasa pemrograman PHP dan beberapa perangkat lunak lain seperti UML, MySQL, dan XAMPP. Sistem Informasi Layanan Pemesanan Fotografi diharapkan dapat membantu proses interaksi yang terjadi antar aktor pada proses bisnis Fourlight-nya Fotografi, terutama dalam hal pemesanan, pembayaran, penjadwalan, dan penggajian.;
104;SMA handayani 1 pameungpeuk, adalah salah satu sekolah menengah pertama di Kabupaten Bandung, Barat Provinsi Jawa, Indonesia. Sama dengan SMA pada umumnya di sekolah pendidikan di Indonesia SMA handayani 1 pameungpeuk dalam tiga tahun pelajaran, mulai dari Kelas X hingga Kelas XII. Dalam melakukan Penelitian di SMA handayani 1 peneliti pameungpeuk menemukan masalah dalam proses registrasi yang dimilikinya selalu terhambat pendaftaran langsung masih menggunakan rekaman, akibatnya ketika siswa akan mendaftar ulang staf bagian harus mencari data satu per satu dan akan memakan waktu yang cukup lama, sistem pemilihan kelas masih sering salah penempatan siswa, sehingga memungkinkan dua atau lebih nama untuk siswa yang sama terdaftar di kelas dan ada satu yang tidak terdaftar di kelas mana pun, tidak dengan adanya sistem memberitahukan informasi tentang jadwal kapan jadwal dibuat, bukan dengan adanya sistem presensi itu membuatnya mudah untuk melakukan perhitungan dalam deskripsi presensi guru, bukan keberadaan sistem penilaian yang memfasilitasi guru menggantikan nilai. Dalam merancang sistem informasi penulis akademik menggunakan metode pengembangan sistem prototipe. Dan untuk pendekatan sistem, penulis menggunakan metode pendekatan berorientasi objek, dengan diagram-diagram yang ada digunakan dalam menganalisis dan merancang sistem seperti menggunakan diagram kasus, diagram aktivitas, urutan diagram, diagram objek, diagram komponen dan diagram penempatan. Perangkat lunak yang digunakan adalah dengan menggunakan Dreamweaver 8, Database MySQL, dan juga XAMPP PhpMyAdmin. Adanya sistem informasi akademik ini, diharapkan dapat memperpudah sekolah untuk mengelola pendaftaran siswa baru, pemilihan kelas, penjadwalan, mengelola presensi, dan nilai. Untuk masa depan sistem pabrikan dilakukan secara online guna mempermudah rapor yang membuar homeroom sistem informasi akademik siswa dan sistem informasi berbasis web dapat dikembangan berbasis android, guna memudahkan presensi dan pada saat penilaian.;
105;"SMK Pasundan 1 Bandung saat ini memiliki sistem informasi kepegawaian dan karenanya membutuhkan alat dalam bentuk sistem informasi untuk membantu personel lapangan termasuk kehadiran, aplikasi cuti, promosi, penilaian kinerja dan penggajian karyawan. Oleh karena itu, penulis bermaksud mengangkat masalah tersebut sebagai judul skripsi: ""On the Human Sistem Informasi Sumber Daya SMK Pasundan 1 Bandung "". Dalam penelitian ini, metode penelitian yang digunakan oleh penulis adalah metode deskriptif dengan case studi tentang layanan sipil dan untuk merancang sistem dan informasi menggunakan pendekatan terstruktur untuk pengembangan metode menggunakan Prototipe. Berdasarkan hasil diskusi yang telah dijelaskan sebelumnya, desain Sistem Informasi Sumber Daya Manusia yang diusulkan mengacu pada Personil yang sedang berlangsung Sistem. Berbagai masalah yang muncul diupayakan untuk ditangani dengan sistem baru yang diusulkan ini. Kemudian ada saran pengembangan sistem informasi kepegawaian yang bisa dipertimbangkan untuk kerjasama antara pengembang sistem dan pengguna akhir akan menciptakan nilai tambah dan akan menghasilkan sistem kualitas yang lebih baik lagi.";
106;Sistem pakar adalah sistem komputer yang menyimpan pengetahuan, fakta, alasan dan pengalaman seorang ahli yang digunakan untuk menyelesaikan masalah di bidang tertentu. Saat ini ke melakukan pemeriksaan penyakit paru-paru, Pasien harus rela mengantri di rumah sakit atau klinik kesehatan masyarakat. Tujuan dari penelitian ini adalah untuk merancang penyakit paru-paru berbasis web sistem diagnosis yang dapat membantu orang untuk berkonsultasi penyakit paru-paru di mana saja tanpa harus datang langsung ke rumah sakit atau klinik kesehatan masyarakat. Metode yang digunakan dalam penelitian ini adalah metode deskriptif dan tindakan. Dalam melakukan sistem desain metode yang digunakan adalah metode pendekatan berorientasi objek dan pengembangan prototipe metode. Hasil penelitian ini adalah sistem diagnosis penyakit paru berbasis web yang bisa memfasilitasi orang untuk mendapatkan informasi tentang penyakit paru-paru, Membantu orang dan dokter mendiagnosis penyakit paru-paru, dan membantu dokter mengawasi perawatan pasien. Saran untuk masa depan harus menjadi ruang lingkup pemeriksaan tidak hanya pada penyakit paru-paru saja, tetapi dalam lainnya penyakit juga.;
107;Pasien perawatan gigi yang baik dapat dilihat dari kepuasan pasien gigi dalam pengobatan. Banyak orang awam yang masih meyepelekan gigi yang sehat, karena gigi punya peran penting bagi kehidupan manusia dan sangat berbahaya ketika kita memiliki masalah sampai gigi dapat menyebabkan kematian. Dibantu oleh perawatan pasien gigi yang baik dan memadai maka orang atau gigi perawatan pasien akan terasa puas dan tidak lagi menyepelakan tentang kesehatan gigi tersebut penting bahwa kita memelihara, dan menyederhanakan proses perawatan gigi pasien. Sistem Informasi Pelayanan yang baik, layanan akan berlangsung teratur, dan pasien mencari perawatan akan puas dengan layanan. Aplikasi ini dibuat dengan menggunakan desain penelitian deskriptif, sistem menggunakan pendekatan terstruktur dan metode pengembangan sistem menggunakan pengembangan sistem prototipe. Aplikasi ini menggunakan aplikasi bahasa pemrograman PHP menggunakan SUBLIME TEXT 3 dan XAMPP sebagai server database MYSQL-nya. Aplikasi ini diharapkan dapat membantu pengguna manajemen gigi dalam mengimplementasikan perawatan pasien dalam bentuk pendaftaran, inspeksi, dan layanan obat-obatan. Sederhanakan laporannya pembuatan data mendaftarkan pasien dan memberikan saran pada kartu medis pasien yang mana membedakan pasien lama dan baru.;
