No;Abstract;
11;Website carirekan.com adalah media yang berfokus kepada pencarian cofounder dalam membangun sebuah startup. Membangun startup sendiri idealnya terdiri dari 3 cofounder dengan berbagai latar keilmuan. Namun website carirekan.com ini masih mengalami permasalahan terutama sebagian besar pengguna mengeluhkan bahwa website carirekan.com masih kurang SEO friendly. Berdasarkan hal tersebut, evaluasi mengenai kualitas website carirekan.com sangat diperlukan untuk lebih mengetahui kualitas dari website serta kepuasan dari pengguna, sehingga dalam pengembangan kedepannya akan lebih terarah. Permasalahan tersebut, di analisa dengan mengukur pengaruh suatu kualitas website terhadap kepuasaan pengguna dengan menggunakan metode WebQual 4.0 serta dimensi EUCS (End User Computing Satisfaction). Website carirekan.com yang sedang berjalan saat ini kurang optimal dilihat dari kualitas informasi yang dinilai oleh user kurang baik, namun untuk hal lainnya sudah di nilai cukup baik dan kepuasan pengguna sudah berada pada kategori cukup baik, sedangkan pengaruh dari kualitas website diketahui berpengaruh signifikan sehingga kepuasan pengguna dapat ditingkatkan dengan meningkatkan kualitas website.;
12;YPKP Futsal perusahaan persewaan futsal. YPKP Futsal menyediakan layanan mereka dengan memanfaatkan sistem tanpa komputer. Jadwal lapangan masih manual. Maka dari itu, futsal YPKP mengalami kendala dalam pekerjaan mereka terutama pada dokumentasi. Tujuannya penelitian ini buat mengetahui sistem yang sedang ada, membuat perancangan sistem baru, menganalisa, menguji dan diterapkan sistem informasi baru pemesanan lapangan futsal. Metode prototipe digunakan untuk metode pengembangan sistem dimana wawancara dan observasi digunakan untuk ngumpulin data. Alat analisis dan perancangan yang digunakan UML, diagram usecase,terus aktivitas diagram,terus sequence diagram,terus kelas diagram,terus diagram komponen dan terus diagram deployment. Bahasa pemograman yang dipake yaitu PHP dan database menggunakan MySQL. Dengan pembuatan sistem informasi pemesanan lapangan futsal diharapkan setiap proses pemesanan lapangan futsal di YPKP Futsal Bandung menjadi lebih efisien dan efektif terutama untuk tugas kerja manajemennya.;
13;Studio Musik Haya Pro merupakan perusahaan jasa penyewaan yang bergerak dibidang musik. Namun pada sistem yang sedang berjalan, penyewaan yang dilakukan belum bisa dilakukan secara maksimal dikarenakan proses yang masih manual. Penelitian ini bertujuan untuk membangun sebuah sistem informasi yang efektif untuk mengelola ruang lingkup penyewaan pada Studio Musik Haya Pro. Metode penelitian ini menggunakan metode pendekatan sistem berorientasi objek, metode pengembangan sistem yang digunakan adalah prototype. Hasil dari penelitian ini adalah berupa sistem informasi penyewaan yang dapat membantu klien dalam melakukan penyewaan pada Studio Musik Haya Pro.;
14;Penerapan teknologi sebagai alat bantu yang dipakai sebagai pendukung utama dalam dukungan kinerja yang lebih baik. Di era modern ini setiap perusahaan berusaha untuk menjadi yang terbaik , solusinya yaitu menggunakan teknologi dikalangan berbagai perusahaan dan salah satunya menggunakan mesin produksi otomatis maka dari itu perusahaan membutuhkan teknologi untuk mengembangkan perusahaan. Permasalahan yang terjadi di tempat yang penulis teliti adalah penerimaan pegawai baru masih dilakukan dengan media kertas sebagai alat bantu utamanya tentunya akan ada penumpukan berkas dan terjadinya penyempitan ruang di perusahaan.Metodologi yang digunakan dalam pembuatan sistem informasi penerimaan pegawai adalah metodologi Deskriptif dan pendekatannya menggunakan metode Objek dan untuk pengembangan sistem akan menggunakan Prototype. Alat bantu yang di gunakan pada penelitian ini yaitu Use Case Diagram, Skenario Diagram, Activity Diagram, Sequence diagram, Class Diagram, Deployment Diagram, Component Diagram. Hasil dari aplikasi program ini dibuat berupa proses pendaftaran, pengumpulan berkas, ujian online, dan penilaian.Hasil akhir perancangan yang dilakukan menghasilkan Sistem Informasi Penerimaan Pegawai di PT.Central Texindo yang akan meminimalisir penumpukan berkas dan memudahkan calon pegawai untuk melaksanakan ujian secara online.;
15;Wedding Organizer merupakan suatu jasa yang membantu dan menyusun suatu acara pesta pernikahan sesuai dengan jadwal dan biaya yang sudah ditetapkan. Dengan adanya jasa Wedding Organizer diharapkan dapat membantu pihak keluarga maupun pengantin yang tidak memiliki banyak waktu dalam mengurus sendiri acara pernikahannya yang diidamkannya.Sistem informasi Nurfalah Wedding Organizer yang di buat yaitu dengan memanfaatkan teknologi informasi yang berbasis web, dengan bertujuan untuk memperluas pemasaran atau promosi, penjualan paket pernikahan dan mempermudah proses pemesanannya. Diharapkan dengan adanya Sistem informasi Wedding Organizer mampu membantu bagi orang-orang yang tidak mau repot dengan masalah perencanaan pernikahan. Dari hasil yang dilakukan peneliti bermaksud untuk membantu permasalahan-permasalahan yang ada pada Nurfalah Wedding Organizer. Dengan menggunakan Metode penelitian deSkriptif, metode pengembangan sistem waterfall dan metode pendekatan terstruktur. Dengan menggunakan alat bantu Flowmap, Diagram Konteks, dan Dfd. Pembangunan sistem informasi Wedding Organizer berbasis website ini menggunakan bahasa pemrograman PHP (Hypertext Preprocessor) dan menggunakan database MySql.Dengan adanya sistem informasi pemesanan paket pernikahan berbasis website diharapkan dapat mempermudah proses pendaftaran, pemesanan paket, promosi dan informasi yang dibutuhkan pelanggan. Sehingga dapat mempermudah pihak Wedding Organizer dan pelanggan dalam melakukan pemesanan jasa pernikahan secara langsung maupun secara online.;
16;Sebuah instansi atau perusahaan pasti membutuhkan peran teknologi informasi dalam membantu pekerjaan. Dalam bidang pendidikan juga peran teknologi sangat penting untuk memperbaiki kualitasnya. SDN Babakan Cianjur adalah salah satu sekolah dasar yang membutuhkan peran dari teknologi informasi tersebut. Pada sekolah ini proses kegiatan akademiknya belum terintegrasi dan belum terkomputerisasi, sehingga dalam melakukan kegiatan akademik disini masih banyak kekurangan. Dalam perancangan sistem informasi akademik disini melakukan pendekatan terstruktur, alat bantu dari pedekatan terstruktur ini antara lain flowmap (bagan alir dokumen), diagram konteks, dan Data Flow Diagram/DFD, Entity Relationship Diagram(ERD). Metode pendekatan sistem yang digunakan yaitu berorientasi terstruktur, metode pengembangan yang digunakan adalah metode prototype dan teknik pengumpulan data yang digunakan yaitu wawancara dan observasu. Bahasa Pemrograman menggunakan PHP dan database MySQL. Dengan dibuatnya sistem informasi akademik ini diharapkan akan mempermudah kegiatan akademik di SDN Babakan Cianjur.;
17;Micro Entertaiment merupakan Management Artis yang menaungi beberapa band indie underground yang ada di bandung. Saat ini sistem pengelolaan data-data historis artis dicatat secara konvensional dimana setiap data yang dihasilkan dicatat oleh masing-masing pihak pembuat data dan terpisah-pisah. Pihak pembuat data historis job adalah bagian management job, sedangkan pihak pembuat data historis pembuatan album dan penjualan album adalah bagian penjualan dalam Label. Desain penelitian ini suatu menggunakan metode deskriptif dan action research. Dalam melakukan suatu penelitian perlu dilakukan perencanaan penelitian agar penelitian yang dilakukan dapat berjalan dengan baik dan sistematis. Metode yang akan digunakan dalam penelitian ini adalah metode deskriptif. Pada perancangan dan analisis di penelitian ini, penulis menggunakan flowmap, diagram konteks, DFD, kamus data, normalisasi, tabel relasi da erd. Dari hasil pembahasan sebelumnya terdapat beberapa masalah di Micro Entertaiment. Dengan dibangunya sistem informasi ini maka diharapkan dapat membantu menyelesaikan masalah yang ada di Micro Entertaiment.;
18;Ilmu Tajwid merupakan ilmu yang mempelajari kaidah-kaidah dalam membaca Al-Qur?an. Hukum mempelajari ilmu tajwid adalah fardhu kifayah sedangkan menerapkannya dalam membaca Al-Qur?an adalah fardhu ain. Pada jaman dahulu anak-anak seusia anak SMP sudah mempelajari ilmu tajwid, bahkan anak seusia SD bahkan TKA/TPA. Akan tetapi anak-anak pada jaman sekarang lebih terpengaruh oleh teknologi, salah satunya smartphone, sehingga anak-anak terlena dengan teknologi tersebut, yanga mana mereka lebih asik dengan bermain game, sosial media dan sebagainya. Oleh karena itu maka dibuatlah aplikasi pembelajaran ilmu tajwid berbasis Android untuk membantu dalam mempelajari ilmu tajwid tersebut. Harapannya dengan aplikasi pembelajaran ilmu tajwid berbasis Android ini, pembelajaran ilmu tajwid lebih menyenangkan dan lebih mudah untuk di pelajarinya, serta bisa mempelajari ilmu tajwid tersebut dimanapun dan kapanpun.;
19;Kawanan Rusa Studio adalah perusahaan yang menyediakan layanan jasa fotografi. Kawanan Rusa Studio harus meningkatkan produktifitas pada bidangnya, untuk itu dibutuhkannya sarana informasi dengan memanfaatkan web. Fasilitass ini ibertujuan untuk membantu penyebarluasan informasi dan promosi pada pemesanan jasa fotografi. Penelitian ini menggunakan metode penelitian deskriptif. Metode ini dilakukan yaitu menggunakan data primer yang di dapatkan melalui wawancara dengan pemilik Kawanan Rusa Studio. Metode Pengembangan Sistem Informasi yang digunakan pada analisis ini adalah Prototype pada proses pembuatan website. Pada aplikasi ini, software yang digunakan adalah notepad++ sebagai alat bantu membuat website, MySQL sebagai database untuk menyimpan data dari situs, skrip PHP untuk bahasa pemrogramannya. Hasil yang didapatkan dari aplikasi ini adalah menghasilkan produk perangkat lunak aplikasi E-Digital Order Photography berbasis Web di Kawanan Rusa Studio. Website ini memiliki fasilitas daftar paket fotografi yang telah di sediakan, halaman pemesanan, konfirmasi pembayaran dan halaman administrator untuk mengelola halaman web.;
20;PT. Anugra Rizky Ananda adalah perusahaan yang berdiri secara sah berdasarkan badan hukum dengan akta pendirian No. 98 tanggal 28 Januari 2016 yang ditandatangani oleh Notaris Novianti, berkedudukan di Jalan Matraman Raya No. 99 A Jakarta Timur. Pengerjaan proyek kontraktor dimulai dengan untuk menentukan jangka waktu suatu proyek yang disepakati. Berbagai macam proyek telah dilakukan oleh perusahaan ini, diantaranya yaitu instalasi jaringan listrik dan lampu jalan, pembangunan atau perancangan jaringan listrik gedung, dan proyek lain-lainnya. Dan pengerjaan proyeknya pun di berbagai kota, dari Jakarta, Cimahi, dan Purbalingga. Metode penelitian yang digunakan meliputi desain penelitian menggunakan metode deskriftif, metode pengumpulan data yang digunakan sumber data primer dan data sekunder. Metode pengembangan sistem yang digunakan yaitu metode prototype dimana teknik pengumpulan data digunakan antara lain wawancara dan observasi. Metode pengembangan menggunakan beberapa alat bantu yaitu flowmap, diagram konteks. Data flow diagram (DFD), kamus data, normalisasi dan entity relationship diagram (ERD). Bahasa pemograman yang digunakan adalah PHP didukung dengan Apache sebagai webserver dan MySQL sebagai databasenya.;
